P0x0100    Megapole (über 10 Mio. Einwohner)
P0x0200    Megapole (5 bis 10 Mio. Einwohner)
P0x0300    Metropole (2 bis 5 Mio. Einwohner)
P0x0400    Metropole (1 bis 2 Mio. Einwohner)
P0x0500    Großstadt (0.5 bis 1 Mio. Einwohner)
P0x0600    Großstadt (200000  bis 500000 Einwohner)
P0x0700    Großstadt (100000 bis 200000Einwohner)
P0x0800    Stadt (50000 bis 100000 Einwohner)
P0x0900    Stadt (20000 bis 50000 Einwohner)
P0x0a00    Kleinstadt (10000 bis 200000 Einwohner)
P0x0b00    Kleinstadt (5000 bis 10000 Einwohner)
P0x0c00    Ort (2000 bis 5000 Einwohner)
P0x0d00    Ort (1000 bis 2000 Einwohner)
P0x0e00    Dorf (500 bis 1000 Einwohner)
P0x0f00    Dorf (200 bis 500 Einwohner)
P0x1000    Dorf (100 bis 200 Einwohner)
P0x1100    Dorf (unter 100 Einwohner)

P0x1200    Jachthafen mit Service
P0x1300    Marine (unbekannt)

P0x1400    Landesname (groß)
P0x1500    Landesname (klein)
P0x1e00    Name Provinz oder Region
P0x1f00    Alternativer Name Provinz oder Region
P0x2800    Name(allgemein)

P0x1600    Seezeichen, Navigationshilfe
P0x1601    Nebelhorn
P0x1602    Funkbake
P0x1603    Radarantwortbake
P0x1604    Tagbake, rotes Dreieck
P0x1605    Tagbake, grünes Quadrat
P0x1606    Tagbake, weißer Diamant
P0x1607    unbefeuertes Seezeichen, weiß
P0x1608    unbefeuertes Seezeichen, rot
P0x1609    unbefeuertes Seezeichen, grün
P0x160a    unbefeuertes Seezeichen, schwarz
P0x160b    unbefeuertes Seezeichen, gelb-amber
P0x160c    unbefeuertes Seezeichen, orange
P0x160d    unbefeuertes Seezeichen mehrfarbig
P0x160e    befeuertes Seezeichen, unbekannt
P0x160f    befeuertes Seezeichen, weiß
P0x1610    befeuertes Seezeichen, rot
P0x1611    befeuertes Seezeichen, grün
P0x1612    befeuertes Seezeichen, gelb-amber
P0x1613    befeuertes Seezeichen, orange
P0x1614    befeuertes Seezeichen, violett
P0x1615    befeuertes Seezeichen, blau
P0x1616    befeuertes Seezeichen, mehrfarbig

P0x1c00    nicht klassifiziertes  Hindernis
P0x1c01    sichtbares Wrack
P0x1c02    Unterwasserwrack, gefährlich für die Schifffahrt
P0x1c03    Unterwasserwrack
P0x1c04    Wrack, mit Schleppgerät vermessen
P0x1c05    Hindernis, sichtbar bei Hochwasser
P0x1c06    Hindernis, in Höhe des Kartennulls
P0x1c07    Hindernis, unter Wasser
P0x1c08    Hindernis, abgesichert
P0x1c09    Fels, in Höhe des Kartennulls
P0x1c0a    Fels, bei Niedrigwasser bedeckt
P0x1c0b    Tiefenmessung, loten 

P0x1d00    Tiede-Tafel

P0x2000    Autobahnparkplatz
P0x2100    Autobahnparkplatz mit Gebäude
P0x2110    Autobahnparkplatz mit Gebäude
P0x210F    Autobahnparkplatz (bewitschaftet)
P0x2200    Autobahnparkplatz mit Toilette
P0x2300    Autobahnparkplatz mit Geschäft
P0x2400    Autobahnparkplatz mit Wiegestation
P0x2500    Autobahnparkplatz mit Mautstelle
P0x2600    Autobahnparkplatz mit Information
P0x2700    Autobahnparkplatz

P0x2900    Service

P0x2a00    Restaurant
P0x2a01    Restaurant (amerikanisch)
P0x2a02    Restaurant (asiatisch)
P0x2a03    Restaurant (barbecue)
P0x2a04    Restaurant (chinesisch)
P0x2a05    Restaurant (indisch)
P0x2a06    Restaurant (international)
P0x2a07    Restaurant Schnellrestaurant
P0x2a08    Restaurant (italienisch)
P0x2a09    Restaurant (mexicanisch)
P0x2a0a    Pitzzaria
P0x2a0b    Fischrestaurant
P0x2a0c    Steakhaus
P0x2a0d    Beagel und Donats
P0x2a0e    Cafe
P0x2a0f    Restaurant (französisch)
P0x2a10    Restaurant (deutsch)
P0x2a11    Restaurant (britisch)
P0x2a12    Spezialitätenrestaurant

P0x2b00    Unterkunft
P0x2b01    Hotel oder Motel
P0x2b02    Bett und Frühstück
P0x2b03    Camping
P0x2b04    Resort

P0x2c00    Sehenswürdigkeit
P0x2c01    Erlebnispark
P0x2c02    Museum
P0x2c03    Bibilothek
P0x2c04    Aussichtspunkt
P0x2c05    Schule
